Sample	batch1	batch2	batch3	chem1	chem2	chem3
MSTRG.1.1	-0.9029747	-0.8625753	-0.891432	0.4807047	0.935198	1.2410791
MSTRG.10.1	-0.2177575	1.5605013	-0.3093854	-1.0865252	-0.7607373	0.8139041
MSTRG.11.1	0.4508334	1.394082	0.7025123	-1.1839849	-0.8009953	-0.5624475
MSTRG.12.1	0.3145491	1.5699726	0.5562327	-1.0369653	-0.8838852	-0.5199039
MSTRG.13.1	-0.9512007	-0.0466381	-0.9381854	-0.4045586	0.7765789	1.5640038
MSTRG.14.1	0.223925	1.5569371	0.1527959	-1.3656788	-0.7718825	0.2039034
MSTRG.15.1	-0.9037659	-0.7247405	-0.9391599	0.2764541	0.9523661	1.3388462
MSTRG.16.1	0.3796198	1.4049735	0.7343497	-1.1349891	-0.9119816	-0.4719724
MSTRG.17.1	-0.9794876	1.5703397	-0.2464517	-1.0774363	0.1611415	0.5718944
MSTRG.17.2	1.3593807	-0.6912892	-0.9047073	-0.3294062	-0.6077777	1.1737997
MSTRG.18.1	0.2766122	1.6497038	0.1828706	-1.2071838	-0.8411451	-0.0608577
MSTRG.19.1	-0.0053727	1.7139037	0.3599735	-1.2518482	-0.535483	-0.2811733
MSTRG.2.1	-0.9559578	-0.783664	-0.9250364	0.5326028	0.8930722	1.2389832
MSTRG.20.1	0.3872749	1.5180809	0.6133133	-0.9879964	-0.8694491	-0.6612236
MSTRG.21.1	-1.1061117	-0.0988378	-1.0988442	0.1976757	0.6642484	1.4418696
MSTRG.22.1	-1.5336428	-0.1525884	-0.7112172	0.5301801	0.7163896	1.1508787
MSTRG.23.1	-0.8211348	1.2903548	-1.2434328	-0.4692199	0.3753759	0.8680568
MSTRG.24.1	-0.4104432	0.902975	1.3955068	-0.7387977	-1.2313296	0.0820886
MSTRG.25.1	-0.7946848	-0.3612204	-1.3726375	1.2281493	0.6501967	0.6501967
MSTRG.26.1	-0.0556587	0.7235634	1.614103	-0.612246	-0.612246	-1.0575157
MSTRG.27.1	-1.1092826	0.0285728	-0.8301287	-0.4417408	0.9343057	1.4182736
MSTRG.28.1	-0.015765	1.4030806	0.9301321	-0.8670723	-1.1508414	-0.2995341
MSTRG.3.1	-0.1946953	0.9038835	-1.124262	-0.5575743	-0.5376905	1.5103387
MSTRG.4.1	-0.1140101	1.5350416	-0.2387283	-1.3624517	-0.5020222	0.6821707
MSTRG.5.1	0.2706036	1.6575529	0.3825775	-1.0408482	-0.9025774	-0.3673083
MSTRG.6.1	-0.1083011	0.5415055	-0.7977301	-0.9403706	-0.4252799	1.7301762
MSTRG.7.1	0.3126884	1.4556992	0.6571299	-1.2807305	-0.7394366	-0.4053505
MSTRG.8.1	-0.0546748	1.6898501	0.4656412	-1.1534214	-0.7433603	-0.2040348
MSTRG.9.1	0.2144414	1.6103881	0.4042749	-1.1872578	-0.8708687	-0.1709779
