Sample	x	y	color	name
MSTRG.1.1	-4.2267	487.8351	blue	MSTRG.1.1
MSTRG.10.1	-0.0418	0.4598	#b3aaaa	MSTRG.10.1
MSTRG.11.1	0.9222	42.4731	#b3aaaa	MSTRG.11.1
MSTRG.12.1	0.7801	123.4129	#b3aaaa	MSTRG.12.1
MSTRG.13.1	-0.8337	37.2034	#b3aaaa	MSTRG.13.1
MSTRG.14.1	0.2005	7.2491	#b3aaaa	MSTRG.14.1
MSTRG.15.1	-2.129	228.5753	blue	MSTRG.15.1
MSTRG.16.1	0.7209	75.435	#b3aaaa	MSTRG.16.1
MSTRG.17.1	-0.2132	2.3238	#b3aaaa	MSTRG.17.1
MSTRG.17.2	-0.2776	0.3364	#b3aaaa	MSTRG.17.2
MSTRG.18.1	0.3142	32.8755	#b3aaaa	MSTRG.18.1
MSTRG.19.1	0.2468	3.9515	#b3aaaa	MSTRG.19.1
MSTRG.2.1	-2.5766	473.9756	blue	MSTRG.2.1
MSTRG.20.1	0.896	126.0261	#b3aaaa	MSTRG.20.1
MSTRG.21.1	-0.9034	111.4976	#b3aaaa	MSTRG.21.1
MSTRG.22.1	-1.0401	9.0843	blue	MSTRG.22.1
MSTRG.23.1	-0.4124	1.147	#b3aaaa	MSTRG.23.1
MSTRG.24.1	0.3545	0.4935	#b3aaaa	MSTRG.24.1
MSTRG.25.1	-1.1648	2.7523	#b3aaaa	MSTRG.25.1
MSTRG.26.1	0.4152	0.6975	#b3aaaa	MSTRG.26.1
MSTRG.27.1	-0.7645	46.0124	#b3aaaa	MSTRG.27.1
MSTRG.28.1	0.5281	1.037	#b3aaaa	MSTRG.28.1
MSTRG.3.1	-0.3389	8.3544	#b3aaaa	MSTRG.3.1
MSTRG.4.1	-0.075	2.0627	#b3aaaa	MSTRG.4.1
MSTRG.5.1	0.5552	70.2439	#b3aaaa	MSTRG.5.1
MSTRG.6.1	-0.3343	3.858	#b3aaaa	MSTRG.6.1
MSTRG.7.1	0.809	14.7232	#b3aaaa	MSTRG.7.1
MSTRG.8.1	0.3247	14.8825	#b3aaaa	MSTRG.8.1
MSTRG.9.1	0.4907	19.2685	#b3aaaa	MSTRG.9.1
