gene_id,batch1,batch2,batch3,chem1,chem2,chem3
MSTRG.1,73,101,81,1032,1347,1559
MSTRG.2,3233,4665,3490,15605,18601,21476
MSTRG.3,1209,1430,1022,1136,1140,1552
MSTRG.6,504,586,417,399,464,736
MSTRG.4,4442,5751,4343,3451,4134,5074
MSTRG.5,3530,5165,3662,1984,2147,2778
MSTRG.7,25793,37162,29219,9944,15328,18651
MSTRG.8,6103,9315,7061,4080,4835,5828
MSTRG.9,1611,2339,1710,880,1045,1410
MSTRG.10,1202,1726,1175,946,1042,1506
MSTRG.11,1199,1630,1314,452,627,736
MSTRG.12,6302,9320,6883,3053,3421,4296
MSTRG.13,740,1018,744,908,1271,1513
MSTRG.14,8029,10559,7894,5012,6139,7991
MSTRG.15,5305,6873,4995,15642,21562,24947
MSTRG.16,7298,9859,8184,3515,4072,5171
MSTRG.17,1260,1846,1248,1047,1409,1731
MSTRG.18,4211,5749,4106,2549,2959,3833
MSTRG.19,1050,1530,1152,702,902,973
MSTRG.20,4144,5985,4512,1905,2098,2437
MSTRG.21,1755,2448,1760,2652,2973,3508
MSTRG.22,107,196,160,240,252,280
MSTRG.23,82,112,76,87,99,106
MSTRG.24,16,24,27,14,11,19
MSTRG.25,15,18,11,29,25,25
MSTRG.26,28,35,43,23,23,19
MSTRG.27,1781,2531,1965,2221,3128,3447
MSTRG.28,30,45,40,21,18,27
R0010W|FLP1,0,0,0,0,0,0
R0020C|REP1,0,0,0,0,0,0
R0030W|RAF1,0,0,0,0,0,0
R0040C|REP2,0,0,0,0,0,0
YAL069W|YAL069W,0,0,0,0,0,0
YAL068W-A|YAL068W-A,0,0,0,0,0,0
YAL068C|PAU8,0,0,0,0,0,0
YAL067W-A|YAL067W-A,0,0,0,0,0,0
YAL067C|SEO1,0,0,0,0,0,0
YAL066W|YAL066W,0,0,0,0,0,0
YAL065C|YAL065C,0,0,0,0,0,0
YAL064W-B|YAL064W-B,0,0,0,0,0,0
YAL064C-A|YAL064C-A,0,0,0,0,0,0
YAL064W|YAL064W,0,0,0,0,0,0
YAL063C-A|YAL063C-A,0,0,0,0,0,0
YAL063C|FLO9,0,0,0,0,0,0
YAL062W|GDH3,0,0,0,0,0,0
YAL061W|BDH2,0,0,0,0,0,0
YAL060W|BDH1,0,0,0,0,0,0
YAL059C-A|YAL059C-A,0,0,0,0,0,0
YAL059W|ECM1,0,0,0,0,0,0
YAL058W|CNE1,0,0,0,0,0,0
YAL056C-A|YAL056C-A,0,0,0,0,0,0
YAL056W|GPB2,0,0,0,0,0,0
YAL055W|PEX22,0,0,0,0,0,0
YAL054C|ACS1,0,0,0,0,0,0
YAL053W|FLC2,0,0,0,0,0,0
YAL051W|OAF1,0,0,0,0,0,0
YAL049C|AIM2,0,0,0,0,0,0
YAL048C|GEM1,0,0,0,0,0,0
YAL047W-A|YAL047W-A,0,0,0,0,0,0
YAL047C|SPC72,0,0,0,0,0,0
YAL046C|AIM1,0,0,0,0,0,0
YAL045C|YAL045C,0,0,0,0,0,0
YAL044W-A|YAL044W-A,0,0,0,0,0,0
YAL044C|GCV3,0,0,0,0,0,0
YAL043C|PTA1,0,0,0,0,0,0
YAL042C-A|YAL042C-A,0,0,0,0,0,0
YAL042W|ERV46,0,0,0,0,0,0
YAL041W|CDC24,0,0,0,0,0,0
YAL040C|CLN3,0,0,0,0,0,0
YAL039C|CYC3,0,0,0,0,0,0
YAL038W|CDC19,0,0,0,0,0,0
YAL037C-B|YAL037C-B,0,0,0,0,0,0
YAL037C-A|YAL037C-A,0,0,0,0,0,0
YAL037W|YAL037W,0,0,0,0,0,0
YAL036C|RBG1,0,0,0,0,0,0
YAL035W|FUN12,0,0,0,0,0,0
YAL034C-B|YAL034C-B,0,0,0,0,0,0
YAL034W-A|MTW1,0,0,0,0,0,0
YAL034C|FUN19,0,0,0,0,0,0
YAL033W|POP5,0,0,0,0,0,0
YAL032C|PRP45,0,0,0,0,0,0
YAL031W-A|YAL031W-A,0,0,0,0,0,0
YAL031C|GIP4,0,0,0,0,0,0
YAL030W|SNC1,0,0,0,0,0,0
YAL029C|MYO4,0,0,0,0,0,0
YAL028W|FRT2,0,0,0,0,0,0
YAL027W|SAW1,0,0,0,0,0,0
YAL026C-A|YAL026C-A,0,0,0,0,0,0
YAL026C|DRS2,0,0,0,0,0,0
HRA1|HRA1,0,0,0,0,0,0
YAL025C|MAK16,0,0,0,0,0,0
YAL024C|LTE1,0,0,0,0,0,0
YAL023C|PMT2,0,0,0,0,0,0
YAL022C|FUN26,0,0,0,0,0,0
YAL021C|CCR4,0,0,0,0,0,0
YAL020C|ATS1,0,0,0,0,0,0
YAL019W-A|YAL019W-A,0,0,0,0,0,0
YAL019W|FUN30,0,0,0,0,0,0
YAL018C|YAL018C,0,0,0,0,0,0
YAL017W|PSK1,0,0,0,0,0,0
YAL016C-B|YAL016C-B,0,0,0,0,0,0
YAL016C-A|YAL016C-A,0,0,0,0,0,0
YAL016W|TPD3,0,0,0,0,0,0
YAL015C|NTG1,0,0,0,0,0,0
YAL014C|SYN8,0,0,0,0,0,0
YAL013W|DEP1,0,0,0,0,0,0
YAL012W|CYS3,0,0,0,0,0,0
YAL011W|SWC3,0,0,0,0,0,0
YAL010C|MDM10,0,0,0,0,0,0
YAL009W|SPO7,0,0,0,0,0,0
YAL008W|FUN14,0,0,0,0,0,0
YAL007C|ERP2,0,0,0,0,0,0
tP(UGG)A|TRN1,0,0,0,0,0,0
YAL005C|SSA1,0,0,0,0,0,0
YAL004W|YAL004W,0,0,0,0,0,0
